type,jan_regis,feb_regis,mar_regis,apr_regis,total_regis,jan_m,feb_m,mar_m,apr_m,total_m
การผลิตกาแฟ ชาและสมุนไพรผงสำหรับชงเป็นเครื่องดื่ม,0,0,0,0,0,0,0,0,0,0
การผลิตกาแฟ,3,5,6,4,18,1.8,6.7,7.5,8,24
การผลิตชา,0,0,1,0,1,0,0,5,0,5
การผลิตสมุนไพรผงสำหรับชงเป็นเครื่องดื่ม,0,2,4,1,7,0,2,2.1555,0.1,4.2555
การผลิตเครื่องเทศและเครื่องแกงสำเร็จรูป,0,1,3,0,4,0,1,2.2,0,3.2
การผลิตซอสและเครื่องปรุงอาหารประจำโต๊ะ,6,1,4,2,13,5.5,1,3.2,2,11.7
การผลิตซีอิ๊ว,0,0,0,0,0,0,0,0,0,0
การผลิตผงชูรส,0,0,1,0,1,0,0,1,0,1
การผลิตเกลือบริโภค,0,0,0,0,0,0,0,0,0,0
การผลิตเครื่องปรุงอาหารประจำโต๊ะและเครื่องประกอบอาหาร อื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,2,0,2,0,0,2,0,2
การผลิตผลิตภัณฑ์อาหารอื่น ๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การผลิตขนมขบเคี้ยว/ขนมกรุบกรอบ,3,0,1,3,7,6,0,0.1,2,8.1
การผลิตขนมไทยและขนมพื้นเมือง (ยกเว้นขนมอบ),0,0,2,2,4,0,0,2,5.1,7.1
การผลิตซุปน้ำซุปและอาหารพิเศษ,1,0,0,0,1,1,0,0,0,1
การผลิตอาหารพร้อมปรุงและอาหารที่เน่าเสียง่าย,1,8,11,11,31,1,15.5,19.05,10.2,45.75
