type,p_s,p_m,p_l,p_total,m_s,m_m,m_l,m_total
การล่าสัตว์การดักสัตว์และกิจกรรมบริการอื่นๆที่เกี่ยวข้อง,16,1,0,17,20.0,5.0,0.0,25.0
ป่าไม้และการทำไม้,0,0,0,0,0.0,0.0,0.0,0.0
วนวัฒนวิทยาและกิจกรรมอื่นๆที่เกี่ยวกับป่าไม้,83,0,1,84,850.35,0.0,184.0,1034.35
การทำไม้,111,6,1,118,1621.959999,392.0,520.0,2533.959999
การเก็บหาของป่า,10,0,0,10,20.2,0.0,0.0,20.2
บริการสนับสนุนการป่าไม้,30,1,0,31,1507.57,21.0,0.0,1528.57
การประมง,0,0,0,0,0.0,0.0,0.0,0.0
การประมงทะเล,0,0,0,0,0.0,0.0,0.0,0.0
การจับปลาทะเล,14,1,0,15,59.5,2.0,0.0,61.5
การจับกุ้งทะเล,7,1,0,8,211.0,75.0,0.0,286.0
การจับปูทะเล,1,0,0,1,2.0,0.0,0.0,2.0
การจับหอยทะเล,3,0,0,3,5.0,0.0,0.0,5.0
การประมงทะเลอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,47,0,0,47,508.719999,0.0,0.0,508.719999
การจับปลาน้ำจืด,4,0,0,4,8.0,0.0,0.0,8.0
การจับกุ้งน้ำจืด,2,0,0,2,4.0,0.0,0.0,4.0
การประมงน้ำจืดอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,13,0,0,13,46.6,0.0,0.0,46.6
การเพาะเลี้ยงสัตว์น้ำทะเล,0,0,0,0,0.0,0.0,0.0,0.0
การเพาะเลี้ยงปลาทะเล,9,0,0,9,79.0,0.0,0.0,79.0
การเพาะเลี้ยงกุ้งทะเล,69,3,1,73,1775.22,95.0,300.0,2170.2200000000003
การเพาะเลี้ยงหอยทะเล,7,0,0,7,6.5,0.0,0.0,6.5
การเพาะเลี้ยงสัตว์ทะเลสวยงาม,9,0,0,9,10.3,0.0,0.0,10.3
การเพาะเลี้ยงสัตว์น้ำทะเลอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,25,2,0,27,172.1,205.18,0.0,377.28
การเพาะเลี้ยงปลาน้ำจืด,86,1,0,87,379.5873,1.0,0.0,380.5873
การเพาะเลี้ยงกุ้งน้ำจืด,38,3,0,41,296.3,50.0,0.0,346.3
การเพาะเลี้ยงกบ,1,0,0,1,0.02,0.0,0.0,0.02
การเพาะเลี้ยงจระเข้,7,0,0,7,169.0,0.0,0.0,169.0
การเพาะเลี้ยงสัตว์น้ำจืดสวยงาม,38,0,0,38,55.3,0.0,0.0,55.3
การเพาะเลี้ยงสัตว์น้ำจืดอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,34,0,0,34,921.541,0.0,0.0,921.541
การทำเหมืองถ่านหินคุณภาพสูง,19,1,1,21,212.72,100.0,524.999679,837.719679
การทำเหมืองลิกไนต์,4,0,1,5,25.5,0.0,1149.16,1174.66
การผลิตน้ำมันดิบและก๊าซธรรมชาติ,0,0,0,0,0.0,0.0,0.0,0.0
การผลิตน้ำมันดิบ,7,2,14,23,666.0,625.0,69904.4404,71195.4404
การผลิตก๊าซธรรมชาติ,27,0,2,29,640.0,0.0,4412.0,5052.0
การทำเหมืองสินแร่เหล็ก,20,1,1,22,851.9384,5.0,240.0,1096.9384
การทำเหมืองสินแร่ยูเรเนียมและทอเรียม,1,0,0,1,4.0,0.0,0.0,4.0
การทำเหมืองสินแร่ดีบุก,29,0,1,30,492.0216,0.0,218.0,710.0216
การทำเหมืองสินแร่สังกะสี,1,0,0,1,10.0,0.0,0.0,10.0
การทำเหมืองสินแร่โลหะนอกกลุ่มสินแร่เหล็กอื่น ๆ ซึ่งมิได้จัด ประเภทไว้ในที่อื่น,328,13,6,347,13508.843821,578.0,3001.5161,17088.359921
การทำเหมืองสินแร่โลหะมีค่า,57,0,0,57,1813.38850696,0.0,0.0,1813.38850696
การทำเหมืองแร่และเหมืองหินอื่นๆ,0,0,0,0,0.0,0.0,0.0,0.0
การทำเหมืองหินที่ใช้ในการก่อสร้าง,390,61,5,456,6059.0347,4244.7346,960.0,11263.7693
การทำเหมืองหินปูนยิปซัมชอล์กและโดโลไมต์,61,14,5,80,1117.97725,803.5,1774.0,3695.47725
การขุดกรวดและทราย,563,23,0,586,4623.23,959.15,0.0,5582.379999999999
การทำเหมืองดิน,35,1,0,36,276.49,50.0,0.0,326.49
การทำเหมืองแร่และเหมืองหินซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0.0,0.0,0.0,0.0
การทำเหมืองแร่ที่ใช้ทำเคมีภัณฑ์และปุ๋ย,35,1,1,37,21392.8973,300.0,60.0,21752.8973
การขุดพีต,0,0,0,0,0.0,0.0,0.0,0.0
การทำเหมืองเกลือสินเธาว์,11,0,1,12,34.0,0.0,418.64,452.64
การทำเหมืองเกลือสมุทร,9,0,0,9,93.0,0.0,0.0,93.0
การทำเหมืองแร่ เหมืองแร่อโลหะและเหมืองหินอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0.0,0.0,0.0,0.0
การทำเหมืองแร่รัตนชาติและกึ่งรัตนชาติ,13,0,0,13,39.0,0.0,0.0,39.0
การทำเหมืองแร่ เหมืองแร่อโลหะและเหมืองหินอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,405,18,2,425,4878.39905,816.009,105.0,5799.40805
กิจกรรมที่สนับสนุนการขุดเจาะน้ำมันดิบและก๊าซธรรมชาติ,139,9,9,157,48610.93595,229.39229,91461.124,140301.45224
กิจกรรมที่สนับสนุนการทำเหมืองแร่และเหมืองหินอื่นๆ,107,2,0,109,1363.33,85.0,0.0,1448.33
การผลิตผลิตภัณฑ์อาหาร,1,0,0,1,60.0,0.0,0.0,60.0
การแปรรูปและการถนอมเนื้อสัตว์,0,0,0,0,0.0,0.0,0.0,0.0
การฆ่าสัตว์และการบรรจุเนื้อสัตว์ (ยกเว้นสัตว์ปีก),0,0,0,0,0.0,0.0,0.0,0.0
การฆ่าสัตว์ (ยกเว้นสัตว์ปีก),111,19,6,136,1189.1,1100.1064,720.0,3009.2064
การบรรจุเนื้อสัตว์สด (ยกเว้นสัตว์ปีก),88,9,5,102,288.1,90.4,1352.1445,1730.6445
การฆ่าและการบรรจุเนื้อสัตว์ปีกสด,106,10,34,150,1422.44,299.6,35256.161082,36978.201082
