province,month,type,p_esta,m_esta
ประจวบคีรีขันธ์,เมษายน,S,46,85.41
ประจวบคีรีขันธ์,เมษายน,M,0,0.0
ประจวบคีรีขันธ์,เมษายน,L,0,0.0
ประจวบคีรีขันธ์,พฤษภาคม,S,0,0.0
ประจวบคีรีขันธ์,พฤษภาคม,M,0,0.0
ประจวบคีรีขันธ์,พฤษภาคม,L,0,0.0
ประจวบคีรีขันธ์,มิถุนายน,S,0,0.0
ประจวบคีรีขันธ์,มิถุนายน,M,0,0.0
ประจวบคีรีขันธ์,มิถุนายน,L,0,0.0
ประจวบคีรีขันธ์,กรกฎาคม,S,0,0.0
ประจวบคีรีขันธ์,กรกฎาคม,M,0,0.0
ประจวบคีรีขันธ์,กรกฎาคม,L,0,0.0
ประจวบคีรีขันธ์,สิงหาคม,S,0,0.0
ประจวบคีรีขันธ์,สิงหาคม,M,0,0.0
ประจวบคีรีขันธ์,สิงหาคม,L,0,0.0
ประจวบคีรีขันธ์,กันยายน,S,0,0.0
ประจวบคีรีขันธ์,กันยายน,M,0,0.0
ประจวบคีรีขันธ์,กันยายน,L,0,0.0
ประจวบคีรีขันธ์,ตุลาคม,S,0,0.0
ประจวบคีรีขันธ์,ตุลาคม,M,0,0.0
ประจวบคีรีขันธ์,ตุลาคม,L,0,0.0
ประจวบคีรีขันธ์,พฤศจิกายน,S,0,0.0
ประจวบคีรีขันธ์,พฤศจิกายน,M,0,0.0
ประจวบคีรีขันธ์,พฤศจิกายน,L,0,0.0
ประจวบคีรีขันธ์,ธันวาคม,S,0,0.0
ประจวบคีรีขันธ์,ธันวาคม,M,0,0.0
ประจวบคีรีขันธ์,ธันวาคม,L,0,0.0
เพชรบุรี,มกราคม,S,34,30.113
เพชรบุรี,มกราคม,M,1,170.0
เพชรบุรี,มกราคม,L,0,0.0
เพชรบุรี,กุมภาพันธ์,S,24,38.52
เพชรบุรี,กุมภาพันธ์,M,0,0.0
เพชรบุรี,กุมภาพันธ์,L,0,0.0
เพชรบุรี,มีนาคม,S,31,56.7
เพชรบุรี,มีนาคม,M,0,0.0
เพชรบุรี,มีนาคม,L,0,0.0
เพชรบุรี,เมษายน,S,23,32.45
เพชรบุรี,เมษายน,M,0,0.0
เพชรบุรี,เมษายน,L,0,0.0
เพชรบุรี,พฤษภาคม,S,0,0.0
เพชรบุรี,พฤษภาคม,M,0,0.0
เพชรบุรี,พฤษภาคม,L,0,0.0
เพชรบุรี,มิถุนายน,S,0,0.0
