province,month,objective,p_esta,m_esta
สมุทรปราการ,กุมภาพันธ์,ผลิต,43,105.5
สมุทรปราการ,กุมภาพันธ์,บริการ,187,282.81
สมุทรปราการ,มีนาคม,ขายส่ง/ขายปลีก,151,269.07
สมุทรปราการ,มีนาคม,ผลิต,54,3329.0515
สมุทรปราการ,มีนาคม,บริการ,175,691.338888
สมุทรปราการ,เมษายน,ขายส่ง/ขายปลีก,133,244.727599
สมุทรปราการ,เมษายน,ผลิต,47,270.8
สมุทรปราการ,เมษายน,บริการ,148,226.4817
สมุทรปราการ,พฤษภาคม,ขายส่ง/ขายปลีก,130,274.91
สมุทรปราการ,พฤษภาคม,ผลิต,47,388.25
สมุทรปราการ,พฤษภาคม,บริการ,171,276.86
สมุทรปราการ,มิถุนายน,ขายส่ง/ขายปลีก,149,213.101
สมุทรปราการ,มิถุนายน,ผลิต,48,731.39
สมุทรปราการ,มิถุนายน,บริการ,185,395.2248
สมุทรปราการ,กรกฎาคม,ขายส่ง/ขายปลีก,134,315.01
สมุทรปราการ,กรกฎาคม,ผลิต,43,169.775
สมุทรปราการ,กรกฎาคม,บริการ,193,377.2829
สมุทรปราการ,สิงหาคม,ขายส่ง/ขายปลีก,161,255.750856
สมุทรปราการ,สิงหาคม,ผลิต,48,177.01
สมุทรปราการ,สิงหาคม,บริการ,185,346.191
สมุทรปราการ,กันยายน,ขายส่ง/ขายปลีก,161,229.619999
สมุทรปราการ,กันยายน,ผลิต,46,1152.8658
สมุทรปราการ,กันยายน,บริการ,220,353.61
สมุทรปราการ,ตุลาคม,ขายส่ง/ขายปลีก,133,283.085
สมุทรปราการ,ตุลาคม,ผลิต,40,82.055
สมุทรปราการ,ตุลาคม,บริการ,173,261.133329
สมุทรปราการ,พฤศจิกายน,ขายส่ง/ขายปลีก,105,155.8
สมุทรปราการ,พฤศจิกายน,ผลิต,25,54.48
สมุทรปราการ,พฤศจิกายน,บริการ,140,216.31
สมุทรปราการ,ธันวาคม,ขายส่ง/ขายปลีก,77,118.3
สมุทรปราการ,ธันวาคม,ผลิต,23,66.8
สมุทรปราการ,ธันวาคม,บริการ,98,309.56
สมุทรสาคร,มกราคม,ขายส่ง/ขายปลีก,68,106.1
สมุทรสาคร,มกราคม,ผลิต,29,92.0
สมุทรสาคร,มกราคม,บริการ,58,122.35
สมุทรสาคร,กุมภาพันธ์,ขายส่ง/ขายปลีก,66,101.103
สมุทรสาคร,กุมภาพันธ์,ผลิต,25,57.0
สมุทรสาคร,กุมภาพันธ์,บริการ,39,82.2
สมุทรสาคร,มีนาคม,ขายส่ง/ขายปลีก,57,76.1
สมุทรสาคร,มีนาคม,ผลิต,32,74.3
สมุทรสาคร,มีนาคม,บริการ,53,83.01
สมุทรสาคร,เมษายน,ขายส่ง/ขายปลีก,46,80.32
สมุทรสาคร,เมษายน,ผลิต,22,59.3
สมุทรสาคร,เมษายน,บริการ,40,50.565
สมุทรสาคร,พฤษภาคม,ขายส่ง/ขายปลีก,42,72.0
สมุทรสาคร,พฤษภาคม,ผลิต,23,66.6
สมุทรสาคร,พฤษภาคม,บริการ,40,60.4
สมุทรสาคร,มิถุนายน,ขายส่ง/ขายปลีก,61,207.25
สมุทรสาคร,มิถุนายน,ผลิต,31,94.8
สมุทรสาคร,มิถุนายน,บริการ,55,79.85
สมุทรสาคร,กรกฎาคม,ขายส่ง/ขายปลีก,60,76.0
สมุทรสาคร,กรกฎาคม,ผลิต,22,59.3
สมุทรสาคร,กรกฎาคม,บริการ,36,72.0
สมุทรสาคร,สิงหาคม,ขายส่ง/ขายปลีก,50,89.99
สมุทรสาคร,สิงหาคม,ผลิต,22,84.2
สมุทรสาคร,สิงหาคม,บริการ,53,86.06
สมุทรสาคร,กันยายน,ขายส่ง/ขายปลีก,71,113.4
สมุทรสาคร,กันยายน,ผลิต,15,68.0
สมุทรสาคร,กันยายน,บริการ,60,304.316
สมุทรสาคร,ตุลาคม,ขายส่ง/ขายปลีก,64,94.25
สมุทรสาคร,ตุลาคม,ผลิต,17,170.0
สมุทรสาคร,ตุลาคม,บริการ,46,73.0
สมุทรสาคร,พฤศจิกายน,ขายส่ง/ขายปลีก,40,78.81
สมุทรสาคร,พฤศจิกายน,ผลิต,13,22.0
สมุทรสาคร,พฤศจิกายน,บริการ,39,120.1417
สมุทรสาคร,ธันวาคม,ขายส่ง/ขายปลีก,32,50.1
สมุทรสาคร,ธันวาคม,ผลิต,13,31.4
สมุทรสาคร,ธันวาคม,บริการ,24,25.1
สระบุรี,มกราคม,ขายส่ง/ขายปลีก,21,33.3
สระบุรี,มกราคม,ผลิต,9,17.5
สระบุรี,มกราคม,บริการ,29,56.5
สระบุรี,กุมภาพันธ์,ขายส่ง/ขายปลีก,20,30.8
สระบุรี,กุมภาพันธ์,ผลิต,6,15.8
สระบุรี,กุมภาพันธ์,บริการ,29,36.05
สระบุรี,มีนาคม,ขายส่ง/ขายปลีก,13,12.701
สระบุรี,มีนาคม,ผลิต,6,10.0
สระบุรี,มีนาคม,บริการ,29,32.95
สระบุรี,เมษายน,ขายส่ง/ขายปลีก,10,20.45
สระบุรี,เมษายน,ผลิต,7,9.0
สระบุรี,เมษายน,บริการ,24,30.25
สระบุรี,พฤษภาคม,ขายส่ง/ขายปลีก,14,19.3
สระบุรี,พฤษภาคม,ผลิต,2,1.25
สระบุรี,พฤษภาคม,บริการ,23,61.25
สระบุรี,มิถุนายน,ขายส่ง/ขายปลีก,18,21.0
สระบุรี,มิถุนายน,ผลิต,6,15.0
สระบุรี,มิถุนายน,บริการ,24,30.45
สระบุรี,กรกฎาคม,ขายส่ง/ขายปลีก,27,46.6
สระบุรี,กรกฎาคม,ผลิต,8,10.7
สระบุรี,กรกฎาคม,บริการ,24,35.45
